PMID,Title,Abstract,DOI
39248612,Incorporating Next-Generation Sequencing as a Second-Tier Test for Primary Carnitine Deficiency.,"Newborn screening (NBS) for primary carnitine deficiency (PCD) has poor performance. This study aimed to evaluate the feasibility of incorporating next-generation sequencing (NGS) as a second-tier PCD test. Between March and December 2020, 60,070 newborns were screened for inherited metabolic disorders. Newborns with free carnitine (C0) levels below 8.5 μmol/L were selected for second-tier genetic testing. In total, 130 (0.22%) newborns with low C0 levels underwent second-tier genetic testing, 87 (66.92%) had positive genetic testing results, and 30 (23.08%) carried pathogenic variants of the SLC22A5 gene. Six newborns were diagnosed with PCD. The incidence of PCD was approximately 1 in 1:10,012 newborns. The PPV reached 20% after combining with second-tier NGS. Of the eight variants identified in patients with PCD, the three most common variants were c.760C>T (p.Arg254*), c.51C>G (p.Phe17Leu), and c.1400C>G (p.Ser467Cys). The C0 levels of patients with PCD were significantly lower than those of PCD carriers (p = 0.0026) and PCD-negative individuals (p = 0.0005). Our results showed that the PPV reached 20% after combining with second-tier NGS. The MS/MS-based NBS and second-tier NGS combination can effectively reduce the false-positive rate and detect PCD in patients.",10.1002/mgg3.70003
39201429,"The Human OCTN Sub-Family: Gene and Protein Structure, Expression, and Regulation.","OCTN1 and OCTN2 are membrane transport proteins encoded by the SLC22A4 and SLC22A5 genes, respectively. Even though several transcripts have been predicted by bioinformatics for both genes, only one functional protein isoform has been described for each of them. Both proteins are ubiquitous, and depending on the physiopathological state of the cell, their expression is regulated by well-known transcription factors, although some aspects have been neglected. A plethora of missense variants with uncertain clinical significance are reported both in the dbSNP and the Catalogue of Somatic Mutations in Cancer (COSMIC) databases for both genes. Due to their involvement in human pathologies, such as inflammatory-based diseases (OCTN1/2), systemic primary carnitine deficiency (OCTN2), and drug disposition, it would be interesting to predict the impact of variants on human health from the perspective of precision medicine. Although the lack of a 3D structure for these two transport proteins hampers any speculation on the consequences of the polymorphisms, the already available 3D structures for other members of the SLC22 family may provide powerful tools to perform structure/function studies on WT and mutant proteins.",10.3390/ijms25168743
38961493,Screening primary carnitine deficiency in 10 million Chinese newborns: a systematic review and meta-analysis.,"Primary carnitine deficiency (PCD) is a rare autosomal recessive fatty acid oxidation disorder caused by variants in SLC22A5, with its prevalence and SLC22A5 gene mutation spectrum varying across races and regions. This study aimed to systematically analyze the incidence of PCD in China and delineate regional differences in the prevalence of PCD and SLC22A5 gene variants. PubMed, Embase, Web of Science, and Chinese databases were searched up to November 2023. Following quality assessment and data extraction, a meta-analysis was performed on screening results for PCD among Chinese newborns. After reviewing 1,889 articles, 22 studies involving 9,958,380 newborns and 476 PCD cases were included. Of the 476 patients with PCD, 469 underwent genetic diagnosis, revealing 890 variants of 934 alleles of SLC22A5, among which 107 different variants were detected. The meta-analysis showed that the prevalence of PCD in China was 0.05‰ [95%CI, (0.04‰, 0.06‰)] or 1/20 000 [95%CI, (1/16 667, 1/25 000)]. Subgroup analyses revealed a higher incidence in southern China [0.07‰, 95%CI, (0.05‰, 0.08‰)] than in northern China [0.02‰, 95%CI, (0.02‰, 0.03‰)] (P < 0.001). Furthermore, the result of the meta-analysis showed that the frequency of the variant with c.1400C > G, c.51C > G, c.760C > T, c.338G > A, and c.428C > T were 45% [95%CI, (34%, 59%)], 26% [95%CI, (22%, 31%)], 14% [95%CI, (10%, 20%)], 6% [95%CI, (4%, 8%)], and 5% [95%CI, (4%, 8%)], respectively. Among the subgroup analyses, the variant frequency of c.1400C > G in southern China [39%, 95%CI, (29%, 53%)] was significantly lower than that in northern China [79‰, 95%CI, (47‰, 135‰)] (P < 0.05). This study systematically analyzed PCD prevalence and identified common SLC22A5 gene variants in the Chinese population. The findings provide valuable epidemiological insights and guidance for future PCD screening effects in newborns.",10.1186/s13023-024-03267-x
38535123,Harnessing Next-Generation Sequencing as a Timely and Accurate Second-Tier Screening Test for Newborn Screening of Inborn Errors of Metabolism.,"In this study, we evaluated the implementation of a second-tier genetic screening test using an amplicon-based next-generation sequencing (NGS) panel in our laboratory during the period of 1 September 2021 to 31 August 2022 for the newborn screening (NBS) of six conditions for inborn errors of metabolism: citrullinemia type II (MIM #605814), systemic primary carnitine deficiency (MIM #212140), glutaric acidemia type I (MIM #231670), beta-ketothiolase deficiency (#203750), holocarboxylase synthetase deficiency (MIM #253270) and 3-hydroxy-3-methylglutaryl-CoA lyase deficiency (MIM # 246450). The custom-designed NGS panel can detect sequence variants in the relevant genes and also specifically screen for the presence of the hotspot variant IVS16ins3kb of SLC25A13 by the copy number variant calling algorithm. Genetic second-tier tests were performed for 1.8% of a total of 22,883 NBS samples. The false positive rate for these six conditions after the NGS second-tier test was only 0.017%, and two cases of citrullinemia type II would have been missed as false negatives if only biochemical first-tier testing was performed. The confirmed true positive cases were citrullinemia type II (n = 2) and systemic primary carnitine deficiency (n = 1). The false positives were later confirmed to be carrier of citrullinemia type II (n = 2), carrier of glutaric acidemia type I (n = 1) and carrier of systemic primary carnitine deficiency (n = 1). There were no false negatives reported. The incorporation of a second-tier genetic screening test by NGS greatly enhanced our program's performance with 5-working days turn-around time maintained as before. In addition, early genetic information is available at the time of recall to facilitate better clinical management and genetic counseling.",10.3390/ijns10010019
38469824,Cardiomyopathy associated with primary carnitine deficiency in adults: lack of complete response in patients with delayed treatment initiation.,Cardiomyopathy associated with primary carnitine deficiency in adults: lack of complete response in patients with delayed treatment initiation.,10.1016/j.rec.2023.08.011
38358548,"Cardiomyopathy, carnitine deficiency, and celiac disease.","Cardiomyopathy, carnitine deficiency, and celiac disease.",10.1007/s00431-024-05480-z
38158618,Newborn screening for primary carnitine deficiency using a second-tier genetic test.,"Newborn screening (NBS) for primary carnitine deficiency (PCD) exhibits suboptimal performance. This study proposes a strategy to enhance the efficacy of second-tier genetic screening by adjusting the cutoff value for free carnitine (C0). Between January 2021 and December 2022, we screened 119,898 neonates for inborn metabolic disorders. Neonates with C0 levels below 12 μmol/L were randomly selected for second-tier genetic screening, employing a novel matrix-assisted laser desorption/ionization-time of flight mass spectrometry (MALDI-TOF MS) assay. In total, 2,515 neonates with C0 <12 μmol/L underwent further screening, including 206 neonates with C0 <8.5 μmol/L and 320 neonates with 8.5<C0<12 μmol/L. Genetic screening identified positive results in 12.36 % (65) of neonates, with one being homozygous, 10 compound heterozygotes, and 54 heterozygotes. Sanger sequencing revealed a second SLC22A5 variant in three of the 54 neonates. Ultimately, 14 patients were diagnosed with PCD; all 14 patients exhibited low C0 levels, though two had normal C0 levels during the recall review. The MALDI-TOF MS assay demonstrated detection and diagnostic rates of 89.29 % and 78.57 %, respectively. Eleven distinct SLC22A5 variants were identified, with the most common variant being c.51C>G, accounting for 25 % (7/28) of allelic frequencies. A novel MALDI-TOF MS assay targeting 21 SLC22A5 variants in a Chinese population was successfully established. This assay exhibits a high detection and diagnostic rate, making it suitable for population-based genetic screening. Combined genetic screening is recommended to enhance the efficiency of PCD-NBS.",10.1515/jpem-2023-0513
37979236,Systemic primary carnitine deficiency induces severe arrhythmia due to shortening of QT interval.,"Systemic primary carnitine deficiency (PCD) is characterized by cardiomyopathy and arrhythmia. Without carnitine supplementation, progression is usually towards fatal cardiac decompensation. While the cardiomyopathy is most likely secondary to energy deficiency, the mechanism of arrhythmia is unclear, and may be related to a short QT interval. We aim to describe rhythmic manifestations at diagnosis and with carnitine supplementation. French patients diagnosed for PCD were retrospectively included. Clinical and para clinical data at diagnosis and during follow-up were collected. Electrocardiograms with QT interval measurements were blinded reviewed by two paediatric cardiologists. Nineteen patients (median age at diagnosis 2.3 years (extremes 0.3-28.9)) followed in 8 French centres were included. At diagnosis, 21% of patients (4/19) had arrhythmia (2 ventricular fibrillations, 1 ventricular tachycardia and 1 sudden death), and 84% (16/19) had cardiomyopathy. Six electrocardiograms before treatment out of 11 available displayed a short QT (QTc < 340 ms). Median corrected QTc after carnitine supplementation was 404 ms (extremes 341-447) versus 350 ms (extremes 282-421) before treatment (p < 0.001). The whole QTc was prolonged, and no patient reached the criterion of short QT syndrome with carnitine supplementation. Three patients died, probably from rhythmic cause without carnitine supplementation (two extra-hospital sudden deaths and one non-recoverable rhythmic storm before carnitine supplementation), whereas no rhythmic complication occurred in patients with carnitine supplementation. PCD is associated with shortening of the QT interval inducing severe arrhythmia. A potential explanation would be a toxic effect of accumulated fatty acid and metabolites on ionic channels embedded in the cell membrane. Carnitine supplementation normalizes the QTc and prevents arrhythmia. Newborn screening of primary carnitine deficiency would prevent avoidable deaths.",10.1016/j.ymgme.2023.107733
37802072,Human model of primary carnitine deficiency cardiomyopathy reveals ferroptosis as a novel mechanism.,"Primary carnitine deficiency (PCD) is an autosomal recessive monogenic disorder caused by mutations in SLC22A5. This gene encodes for OCTN2, which transports the essential metabolite carnitine into the cell. PCD patients suffer from muscular weakness and dilated cardiomyopathy. Two OCTN2-defective human induced pluripotent stem cell lines were generated, carrying a full OCTN2 knockout and a homozygous OCTN2 (N32S) loss-of-function mutation. OCTN2-defective genotypes showed lower force development and resting length in engineered heart tissue format compared with isogenic control. Force was sensitive to fatty acid-based media and associated with lipid accumulation, mitochondrial alteration, higher glucose uptake, and metabolic remodeling, replicating findings in animal models. The concordant results of OCTN2 (N32S) and -knockout emphasizes the relevance of OCTN2 for these findings. Importantly, genome-wide analysis and pharmacological inhibitor experiments identified ferroptosis, an iron- and lipid-dependent cell death pathway associated with fibroblast activation as a novel PCD cardiomyopathy disease mechanism.",10.1016/j.stemcr.2023.09.002
37658577,Left ventricular noncompaction cardiomyopathy and short QT syndrome due to primary carnitine deficiency.,"We report the case of a 13-year-old female patient presenting with presyncope and palpitations. Her electrocardiogram revealed an abbreviation of the rate-corrected QT interval with imaging showing significant left ventricular dysfunction. Carnitine levels were measured as part of her diagnostic workup, discovering a rare, reversible cause of short QT syndrome (SQTS) and associated cardiomyopathy-primary carnitine deficiency (PCD) caused by a homozygous mutation in the SLC22A5 gene, leading to an in-frame deletion mutation (NP_003051.1:p.Phe23del) affecting the organic cation transporter 2 (OCTN2) protein. Following the treatment with oral carnitine supplementation, her QT interval returned to within the normal range with significant improvement in left ventricular function.",10.1111/anec.13077
